"Employment in non-profit institutions by activity (x 1,000)"
"Annual"
"Table: 36-10-0615-01"
"Geography: Canada, Province or territory"

"","Canada",,,,
"","Total non-profit institutions",,,,
"","Employment",,,,
"Activity","2013","2014","2015","2016","2017"
"","Jobs",,,,
"Total activities","2,256","2,282","2,317","2,372","2,398"
"Culture and recreation","69","71","77","82","81"
"Education and research","502","509","508","520","529"
"Health","976","987","1,004","1,017","1,034"
"Social services","303","308","317","335","337"
"Environment","1","1","1","1","1"
"Development and housing","21","21","23","24","24"
"Law, advocacy, and politics","11","8","10","10","11"
"Philanthropic intermediaries and voluntarism promotion","27","27","25","25","25"
"International","6","6","6","6","6"
"Religion","82","79","81","82","79"
"Business and professional associations, unions","181","183","176","175","174"
"Not elsewhere classified","78","80","90","95","97"


Footnotes:

"How to cite: Statistics Canada. Table 36-10-0615-01 Employment in non-profit institutions by activity (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610061501
